13M,34,52,54.44665,31,12,44.11676,34,52,51.6929,31,12,41.6064
16M,34,41,28.86692,31,30,36.93248,34,41,18.8955,31,30,33.9155
20OA,34,41,23.49471,31,52,46.02641,34,41,9.4878,31,52,46.7546
220M,34,55,36.36991,32,40,51.46409,34,55,14.8506,32,40,50.1987
224M,34,38,37.35026,31,48,19.93639,34,38,24.6479,31,48,20.8043
307M,34,49,49.75863,31,2,21.40271,34,49,44.6538,31,2,20.8262
312M,34,31,50.89875,31,9,45.1027,34,31,46.3778,31,9,47.3836
315M,34,36,40.12368,30,55,3.1074,34,36,36.1622,30,55,3.7804
331M,34,47,47.64361,30,36,10.29355,34,47,51.6311,30,36,8.4066
354M,34,57,16.54344,30,30,37.88661,34,57,26.4687,30,30,33.8825
360IB,35,23,34.29962,31,35,18.02524,35,24,1.6667,31,35,6.9784
360M,34,59,34.1173,30,1,26.66288,34,59,34.7098,30,1,28.0999
373M,34,49,9.35463,29,53,49.4058,34,49,13.1651,29,53,49.8186
393M,34,59,43.64711,29,38,56.56768,34,59,42.0902,29,38,51.431
395M,34,25,23.03528,30,51,59.75758,34,25,16.6952,30,52,2.9096
3M,34,34,50.36813,31,18,55.7656,34,34,41.7279,31,18,55.0418
408M,34,49,51.77308,32,5,21.92107,34,49,35.4883,32,5,22.3859
40M,34,57,58.75656,32,34,19.70007,34,57,45.7612,32,34,17.5107
427M,34,57,45.33437,32,3,54.39059,34,57,31.1871,32,3,54.3185
437M,35,12,9.24175,31,47,10.0843,35,12,12.2873,31,47,4.4802
441M,34,49,10.6889,31,32,24.50326,34,49,0.3481,31,32,21.7912
443M,34,39,2.26378,31,43,31.66076,34,38,48.3026,31,43,32.6502
445M,34,38,44.44729,31,48,27.51849,34,38,31.396,31,48,28.4362
448M,35,5,24.2259,31,46,27.721,35,5,17.042,31,46,23.6389
452M,34,49,23.79102,31,19,23.48689,34,49,15.8582,31,19,20.788
4M,34,28,5.32174,31,20,44.03359,34,27,59.96,31,20,42.5648
51M,35,20,31.22801,32,43,35.3755,35,20,29.4769,32,43,32.2737
54M,35,24,55.18639,32,28,50.75523,35,25,1.379,32,28,50.8586
56M,35,32,25.9221,32,45,40.20855,35,32,35.3821,32,45,38.1511
59M,35,37,9.793,32,42,14.52774,35,37,0.0479,32,42,11.8391
602M,35,9,20.94158,32,30,18.25317,35,9,17.2975,32,30,18.1854
603M,35,24,55.3234,32,28,50.94359,35,25,1.4731,32,28,50.871
605M,34,51,5.58305,32,20,8.58973,34,50,50.052,32,20,7.8592
606M,35,9,56.23528,32,18,42.60493,35,9,48.7045,32,18,41.1754
608M,35,30,44.40238,32,16,15.22334,35,30,49.3962,32,16,10.7339
612M,35,27,34.22454,32,5,42.85458,35,27,48.7877,32,5,35.2195
614M,35,11,49.23179,31,59,53.61234,35,11,44.4194,31,59,52.5853
615M,35,17,6.76919,31,58,43.38347,35,17,13.6654,31,58,39.37
617M,35,27,44.91547,31,56,8.49042,35,28,0.4704,31,56,1.9738
621M,35,7,48.11444,31,49,26.5414,35,7,42.4579,31,49,21.3824
623M,35,31,31.93086,31,46,30.35745,35,31,35.6218,31,46,21.2081
626M,35,2,10.94369,31,45,5.49773,35,1,56.3294,31,45,4.1466
62M,35,9,45.11265,32,44,25.68553,35,9,39.2074,32,44,22.3317
634M,35,20,19.31407,33,3,36.16228,35,20,7.0231,33,3,35.3756
647M_52M,35,31,7.45482,32,40,29.05869,35,31,15.6229,32,40,27.1322
657M,34,38,26.30594,31,36,10.22785,34,38,15.157,31,36,8.8236
666M,34,46,3.8943,31,14,12.08439,34,45,57.6362,31,14,11.4568
668M,35,2,26.03239,31,6,9.51236,35,2,29.5529,31,6,4.8246
671M,35,32,13.21242,33,12,31.25553,35,32,9.928,33,12,25.7118
675M,34,29,29.81729,30,59,39.50814,34,29,24.2233,30,59,39.9484
73M,35,30,14.64117,32,59,1.85251,35,30,16.6424,32,58,52.8491
97M,35,34,17.40469,33,16,31.29713,35,34,7.0354,33,16,23.3449
