id,lon,lat,model xi,model eta,laplace xi,laplace eta,xi diff,eta diff
13M,34.88179074,31.21225466,-6.8,-4.7,-2.5,-2.4,-4.3,-2.3
16M,34.69135192,31.51025902,-2.6,-7.8,-3.0,-8.5,0.4,0.7
20OA,34.68985964,31.87945178,1.3,-9.4,0.7,-11.9,0.6,2.5
220M,34.92676942,32.68096225,-0.0,-11.5,-1.3,-18.1,1.3,6.6
224M,34.64370841,31.80553789,-0.0,-9.4,0.9,-10.8,-0.9,1.4
307M,34.83048851,31.03927853,-1.9,-2.4,-0.6,-4.4,-1.3,2.0
312M,34.53080521,31.16252853,-1.1,-6.8,2.3,-3.9,-3.4,-3.0
315M,34.61114547,30.91752983,-0.0,-4.7,0.7,-3.4,-0.7,-1.3
331M,34.79656767,30.60285932,-0.0,4.6,-1.9,3.4,1.9,1.2
354M,34.9545954,30.51052406,-3.4,9.3,-4.0,8.6,0.6,0.7
360IB,35.39286101,31.58834034,-12.1,18.8,-11.0,23.3,-1.0,-4.5
360M,34.99281036,30.02407302,0.1,0.2,1.4,0.5,-1.4,-0.3
373M,34.81926518,29.89705717,-0.0,4.6,0.4,3.3,-0.4,1.3
393M,34.99545753,29.64904658,-6.2,6.7,-5.1,-1.4,-1.1,8.1
395M,34.42306536,30.86659933,-0.0,-4.7,3.2,-5.4,-3.2,0.8
3M,34.58065781,31.31549044,-0.1,-7.7,-0.7,-7.4,0.7,-0.3
408M,34.83104808,32.08942252,-0.0,-14.2,0.5,-13.8,-0.5,-0.4
40M,34.96632127,32.57213891,-4.0,-9.5,-2.2,-11.0,-1.8,1.5
427M,34.96259288,32.0651085,-0.3,-9.8,-0.1,-12.0,-0.2,2.2
437M,35.20256715,31.78613453,-4.5,8.8,-5.6,2.6,1.1,6.2
441M,34.81963581,31.54013979,-3.2,-8.7,-2.7,-8.8,-0.4,0.1
443M,34.65062883,31.72546132,3.1,-10.4,1.0,-11.9,2.1,1.4
445M,34.6456798,31.80764403,-0.0,-9.4,0.9,-11.1,-0.9,1.7
448M,35.09006275,31.77436694,-4.0,-4.8,-4.1,-6.1,0.1,1.4
452M,34.82327528,31.3231908,-4.0,-4.9,-2.7,-6.8,-1.3,1.9
4M,34.46814493,31.34556489,-2.5,-4.7,-1.5,-4.6,-1.0,-0.1
51M,35.34200778,32.72649319,-4.0,-0.0,-3.1,-1.5,-0.9,1.5
54M,35.41532955,32.48076534,-2.1,2.2,0.1,5.2,-2.2,-3.0
56M,35.54053392,32.76116904,-4.1,5.8,-2.1,8.0,-2.0,-2.2
59M,35.61938694,32.70403548,-1.9,-5.0,-2.7,-8.2,0.8,3.2
602M,35.15581711,32.50507032,-0.0,-4.7,-0.1,-3.1,0.1,-1.7
603M,35.41536761,32.48081766,-2.0,2.4,-0.1,5.2,-1.9,-2.8
605M,34.85155085,32.33571937,-3.6,-13.8,-0.7,-13.1,-2.9,-0.6
606M,35.16562091,32.3118347,-0.0,-4.7,-1.4,-6.4,1.4,1.6
608M,35.51233399,32.27089537,-4.0,4.7,-4.5,4.2,0.5,0.5
612M,35.45950682,32.09523738,-5.7,13.2,-7.6,12.3,1.9,0.9
614M,35.19700883,31.99822565,-3.3,-3.6,-1.0,-4.1,-2.2,0.5
615M,35.28521366,31.97871763,-4.0,4.6,-4.0,5.8,-0.0,-1.3
617M,35.46247652,31.93569178,-7.6,13.1,-6.5,13.2,-1.1,-0.1
621M,35.13003179,31.82403928,-4.0,-6.3,-5.2,-4.8,1.2,-1.5
623M,35.52553635,31.77509929,-9.9,2.6,-9.1,3.1,-0.7,-0.6
626M,35.03637325,31.75152715,-5.4,-13.6,-1.4,-12.4,-4.1,-1.2
62M,35.16253129,32.7404682,-4.0,-2.9,-3.4,-5.0,-0.7,2.1
634M,35.33869835,33.06004508,-0.1,-9.7,-0.8,-10.3,0.6,0.6
647M_52M,35.51873745,32.67473852,-4.8,6.1,-1.9,6.9,-2.9,-0.7
657M,34.64064054,31.60284107,-2.1,-11.9,-1.4,-9.5,-0.7,-2.4
666M,34.76774842,31.23669011,-1.9,-4.6,-0.6,-5.4,-1.3,0.8
668M,35.04056455,31.10264232,-3.3,0.8,-4.7,3.0,1.4,-2.2
671M,35.53700345,33.20868209,-8.0,-4.1,-5.5,-2.7,-2.5,-1.3
675M,34.49161591,30.99430782,-0.0,-4.7,0.4,-4.8,-0.4,0.1
73M,35.50406699,32.98384792,-7.9,0.1,-9.0,1.7,1.1,-1.6
97M,35.5715013,33.27536031,-9.9,-4.8,-8.0,-8.7,-1.9,3.9
